UID,other_commodities
dump-site-in-sulaymaniyah-kurdistan-region-of-iraq,Medical waste
beach-minerals-sand-mining-in-tamil-nadu-india,Ilmenite
beach-minerals-sand-mining-in-tamil-nadu-india,Garnet
beach-minerals-sand-mining-in-tamil-nadu-india,Zircon
beach-minerals-sand-mining-in-tamil-nadu-india,Rutile
beach-minerals-sand-mining-in-tamil-nadu-india,Monazite.
phosphate-mines-togo,phosphates
the-skane-project,Vanadium
wachtelkoenig-crex-crex-against-the-ennstalertrasse-austria,mobility; traffic services
explotacion-de-niobio-en-los-municipios-de-catalao-y-ouvidor-goias,Niobio-pirocloro
explotacion-de-niobio-en-los-municipios-de-catalao-y-ouvidor-goias,Monazita
torching-of-olive-trees-palestine,Olive Trees
laos-china-railway,Transportation services
murders-of-uman-leaders-over-mining-logging-and-plantations-near-butuan-city-agusan-del-norte-caraga,Nickel
murders-of-uman-leaders-over-mining-logging-and-plantations-near-butuan-city-agusan-del-norte-caraga,chromite
controversy-over-planned-paraxylene-px-plant-expansion-in-jiujiang-jiangxi-china,Paraxylene
pondoland-wild-coast-xolobeni-mining-threat-south-africa,Ilmenite
pondoland-wild-coast-xolobeni-mining-threat-south-africa,Rutile
pondoland-wild-coast-xolobeni-mining-threat-south-africa,Zircon
caramanta-antioquia-colombia,Colimdeno
cancer-village-qiugang-develops-in-anhui-china,Benzene
cancer-village-qiugang-develops-in-anhui-china,dyes 
gold-mining-and-mercury-pollution-suriname,Mercury
europa-city,Building services
europa-city,hotels.
pantanos-de-villa,Industrial products manufactured in protected area
haw-river-and-jordan-lake-water-contamination,PFAs
lithium-project-in-jadar-and-radjevina,Borate
battery-metals-from-nornickel-ar,Nickel
janakalyan-community-forest-user-group,Forest resources (fuel-wood
janakalyan-community-forest-user-group,fodder
janakalyan-community-forest-user-group,leaf-litter etc )
stuttgart-21-project-germany,Transportation Services
dongling-lead-and-zinc-smelting-co-fengxiang-shaanxi-china,Cadmium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,Polonium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,benzapyrene
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,hydrogen fluorine
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,lead salt
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,thallium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,mercury diethyl
