slug,relevant_government
protest-against-the-demolition-of-choi-yuen-village-for-xrl-high-speed-rail-hong-kong,"-Hong Kong Special Administrative Region Government
-LegCo"
gobindpura-thermal-power-plant-punjab-india,Government of Punjab
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,"- French Environment and Energy Management Agency (ADEME) will subsidise the project
https://www.ademe.fr
- Office national des forêts (ONF). It leases the land for the project.
https://www.onf.fr/
- Jean-Victor Castor, Member of Parliament for Guyana 1st circumscription. He demanded the release of the detained yapoto of Prospétité [5]."
shrimp-farming-in-canavieiras-brazil,"Instituto Chico Mendes de Biodiversidade - ICMBIO;, Instituto Nacional de Colonizacao e Reforma Agraria - IBAMA, Ministerio do Meio Ambiente - MMA"
genetically-modified-salmon-for-direct-human-consumption,"U.S. Food and Drug Administration (FDA);
Canada’s Federal Court of Appeal;
Canada's Ministry of Environment;"
the-un-resettled-600-roma-to-a-mining-smelting-complex-exposing-them-to-lead-poisoning-kosovo,United Nations Interim Administration Mission in Kosovo (UNMIK). https://unmik.unmissions.org/
yokosuka-coal-power-plant,"METI (Ministry of Economy, Trade and Industry)"
oil-extraction-in-the-indigenous-motilon-bari-territory-colombia,"Agencia Nacional de Hidrocarburos (ANH) - Colombia, National Authority of Indigenous Governments (ONIC), Ministry for the Environment , Ministry of Justice and Internal Affairs"
contaminacion-del-rio-san-juan-queretaro-mexico,Junta de Agua Potable y Alcantarillado Municipal (JAPAM)
lamu-port-and-related-infrastructure-kenya,"Ministry of Lands, Housing and Urban Development; Kenya Ports Authority, Ministry of Environment, Water and Natural Resources"
planta-geotermica-cerro-pabellon-chile,
roma-denied-access-to-clean-water-for-roma-in-slovakia1,"The mayor of Nižný Tvarožec, current mandate (2019)."
overfishing-and-poaching-at-lake-naivasha-kenya,"Fisheries Department, Kenya Wildlife Services Department"
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia,The Russian Government
andal-airetropolis-india,"Civil Aviation ministry, Government of India, Government of West Bengal, West Bengal Industrial Development Corporation"
datang-duolun-coal-chemical-project-in-duolun-inner-mongolia-china,"Ministry of Environmental Protection (Ministry of Ecology and Environment, MEE, as of 2018) 环保部
Xilin Gol League Environmental Protection Bureau (Ecology and Environment Bureau as of 2018) 锡林郭勒盟环保局
Duolun County Environmental Protection Bureau (Ecology and Environment Bureau as of 2018) 多伦县环保局"
dai-ninh-hydropower-project-dong-nai-river-vietnam,"Ministry of Agriculture and Rural Development (MARD)
Government of Vietnam"
cienaga-de-ayapel-colombia,"Ministerio de Minas y Energia, Ministerio de Ambiente y Desarrollo Sostenible, Contraloría General de la República, Procuraduria General de la Nacion, Ingeominas , Gobernacion de Cordoba, Alcaldia Municipal de Ayapel, Puerto Libertador, San José de Uró y Montelíbano., Corporacion Autonoma Regional de los Valles del Sinu y del San Jorge"
carbon,"Commission de protection du territoire agricole du Québec (CPTAQ)
Bureau d’audiences publiques sur l’environnement (BAPE
Municipalité de Grenville-sur-la-Rouge"
protest-against-land-acquisition-for-chennai-salem-8-lane-expressway-tamil-nadu-india,"Union Ministry of Road Transport and Highways, State Government of Tamil Nadu, National Highways Authority of India (NHAI)"
bhagtanwala-solid-waste-management-plant-amritsar-punjab,"Punjab Pollution Control Board
Ministry of Environment and Forests, Government of India
State Level Environment Impact Assessment Authority Punjab"
protest-against-setting-up-of-indian-institute-of-technology-campus-in-goa,"Government of Goa, Department of Technical Education
Government of India, Ministry of Human Resource Development
Indian Institute of Technology, Bombay (mentor to IIT Goa)
Gram Panchayat of Loliem-Pollem"
solar-power-plant-in-drnis-croatia,The City of Drniš; Community Council of Kaočine; Community Council of Radonjić; The Šibenik-Knin County Department for Spatial Planning ; The Ministry of Environment and Nature Protection of Republic of Croatia
no-a-la-pineria-en-costa-rica,"Cámara Constitucional de la Corte Suprema; Secretaría Técnica Nacional Ambiental (SETENA); Instituto Costarricense de Acueductos y Alcantarillados (AyA). 
Private actors:
Cámara Nacional de Productores y Exportadores de Piña (CANAPEP); Sindicato de Trabajadores del Sector Privado (SITRASEPT);"
pt-rea-kaltim-plantations-in-east-kalimantan,"Plantations Office of East Kalimantan
Kukar National Land Agency
Forestry and Plantations Office
Local Parliament 
Land Adquisition Committe (East Kalimantan)"
central-nuclear-china-en-rio-negro,"Gobernación de Río Negro
Presidencia de la República Argentina"
nembe-creek-oil-spill-communities-livelihoods-threatened,"Nigerian National Petroleum Corporation., Nigeria Department of Petroleum Resources ."
foz-coa-dam-guarda-portugal,"Ministério da Indústria e Energia, Ministério do Ambiente, Secretaria da Cultura,  Instituto Português do Património Arquitectónico (IPPAR), UNESCO"
wind-power-plant-wyczechowo-poland,"- Pomeranian Voivodeship Inspector of Building Supervision in Gdańsk
- Chief Inspector of Construction Supervision in Warsaw
- Pomeranian voivode
- Regional Director for Environmental Protection in Gdańsk
- County State Sanitary Inspector in Kartuzy
- Head of Kartuzy county
- Head of Somonino commune"
