slug,relevant_government
xianghe-chemical-factory-in-liuyang-hunan-china,"1. Changsha Municipal People's Government
2. People’s government of Hunan Province
3. Ministry of Environmental Protection （as Ministry of Ecology and Environment since March 2018）
4. Hunan Provincial People's Congress
5. the Environmental Protection Department of Hunan Province (as 6. the Hunan Department of Ecology and Environment)
7. the Environmental Protection Bureau of Liuyang City
8. People’s government of Liuyang City
9. Zhentou Town Government
10. Zhentou Police station"
isua-iron-ore-mining-project-greenland,Naalakkersuisut (Government of Greenland) - Environmental Agency for Mineral Resources Activities (EAMRA)
mayan-beekeepers-against-monsanto-transgenic-soya-campeche-mexico,"The Mexican Ministry of Agriculture, Stockbreeding, Rural Development, Fishery and Food (SAGARPA); The Mexican Ministry of the Environment and Natural Resources (SEMARNAT); TheNational Commission for the Knowledge and Use of Biodiversity (CONABIO); The National Commission of Natural Protected Areas (CONANP); The National Institute of Ecology (INE); State governments of the Yucatan Peninsula: Campeche, Quintana Roo and Yucatan."
little-andaman-development-plan,"NITI Aayog (National Institution for Transforming India)
Administration of South Andaman
Andaman and Nicobar Administration
Government of India
Ministry of Environment, Forest and Climate Change (MoEFCC)
Ministry of Tribal Affairs
Island Development Agency (IDA)
National Board for Wildlife (NBWL)
Anthropological Survey of India"
granitequarrying-capbreton-novascotia-canada,Mining Association of Nova Scotia
shortage-of-water-in-gawadar,"Gwadar Development Authority.
Government of Pakistan.
Government of Balochistan.
Government of China."
ten-hydro-power-plants-on-the-river-ibar-serbia,Ministry of Mining and Energy of Republic of Serbia; Ministry of Agriculture and Environmental Protection of Republic of Serbia; Agency for Spatial Planning of the Republic of Serbia; Municipality of city Kraljevo; The Italian Ministry of Economic Development
algarrobico-hotel,"Andalusia's Supreme Court
Spain's Government 
The Spanish Supreme Court
Spain's Ministry of the Environment"
eviction-from-manas-national-park,"Assam Forest Department. 
National Tiger Conservation Authority (NTCA)"
phosphorite-mining-estonia,"Government of Estonia (after independence)
All-Union Ministry of Fertilizer Industries (Soviet times, 1987)"
big-green-company,"The Environmental Protection Agency (EPA), the Alabama Department of Environmental Management (ADEM), the Perry County Commission, the EPA’s Office of Civil Rights (OCR), and the city of Uniontown."
decade-long-opposition-to-the-iberdrola-horse-creek-wind-project,"New York State Public Service Commission
http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=12-F-0575"
water-pollution-of-the-huai-river-and-the-cancer-village-of-huangmengying-in-henan-china,"Huangmengying Village officials, Shenqiu county officials, Zhoukou city officials, Beijing environmental authorities, the State Council"
municipal-solid-waste-management-plant-in-berhampur-orissa-india,"Odisha State Pollution Control Board
State Environmental Impact Assessment Authority 
Government of Orissa "
national-hazardous-waste-treatment-center-bulgaria,"Ministry of Environment and Water (Bulgaria): MOEW was hoping to fund the project using a 50% grant from the European Unions Instrument for Structural Policies for Pre-Accession , combined with an EIB loan as matching funding."
otis-state-forest-massachusetts-usa-kinder-morgan-natural-gas-pipeline,"The Federal Energy Regulatory Commission (FERC)
https://www.ferc.gov/
Massachusetts State Police"
pulp-mill-contamination-of-boat-harbour,"Provincial government of Nova Scotia. 
Nova Scotia Provincial Court.
Federal government of Canada.
Department of Fisheries and Oceans.
Pictou Landing First Nation."
thermoelectric-complex-parnaiba,"Ministery of Mines, Government of Brazil, Government of the State of Maranhnao, National Agency of Electric Energy (ANEEL),  Secretaria de Estado de Meio Ambiente (SEMA),"
represas-rio-cautin-alto-cautin-y-dona-alicia-chile,
authorities-of-asparuhovo-town-in-bulgaria-blame-a-flooding-event-on-roma-community-by-using-a-hate-speech,Local authorities and Bulgarian Government.
la-macarena-area-de-manejo-especial-colombia,"Gobernación del Meta: Secretaría de Medio Ambiente y Recursos Minero-Energéticos, Secretarías de Planeación y Agricultura, Cormacarena, Parques Nacionales Naturales, Representante de las Alcaldías del AMEM, Representante de las Organizaciones Campesinas del AMEM, Representante de las Organizaciones de Mujeres del AMEM, Representante de las Organizaciones Étnicas en el AMEM, INCODER, IGAC, Unidad Administrativa para la Consolidación Territorial, Departamento  para la Prosperidad Social, Procuraduría General de la Nación, Ministerio de Cultura, Agencia Presidencial de Cooperación Internacional de Colombia"
gmr-krishnagiri-sez-limited-krishnagriri-hosur-tamil-nadu,Government of Tamil Nadu
macro-landfill-in-torremendo-alicante-spain,"Valencian Regional government, Torremento Town Council, Diputación de Alicante"
zhetibai,"Governor of the Mangistau Region, Alik Aidarbaev"
losalamos-mining-sonora-mexico,"Gvernor of Sonora
Profema"
high-speed-train-station-in-a-floodable-area-france,"Ministère de l'Environnement et du Developpement Durable, Prefet de l'Herault, Conseil d’Etat, the Administrative Tribunal of Montpellier, Autorité Environnementale"
buol-district-peoples-struggle-for-their-lands-indonesia,Indonesian gvt. At several levels involved in concession policy for plantations companies
deforestation-in-indigenous-ashaninka-territory-peru,"Instituto Nacional de Recursos Naturales (INRENA) - Peru, Government of Peru, Minitry of Economy and Finance - Peru"
raj-west-power-ltd-barmer-rajasthan-india,"Government of Rajasthan 
Rajasthan High Court"
agresion-detenciones-arbitrarias-y-criminalizacion-de-la-protesta-ante-privatizacion-del-agua-en-queretaro1,"Comisión Nacional de Agua (CONAGUA)
Legislatura de Querétaro
Comisión Nacional de Derechos Humanos (CNDH)
Defensoría de Derechos Humanos de Querétaro (DDHQ)
Comisión Estatal de Aguas (CEA)
Derechos Humanos de la Organización de Naciones Unidas
Gobierno municipal de Santiago de Querétaro
Gobierno estatal 
Gobierno federal
Secretaría de Gobierno del Poder Ejecutivo del Estado de Querétaro
Seguridad Ciudadana del Poder Ejecutivo del Estado de Querétaro"
smurfit-kappa-colombia,"Ministry of Environment, Colombia, National planning Department"
kocacay-delta-turkey,"Governorship of Bursa, Bursa Provincial Forestry, Water Affairs Directorat, Nature Conservation, National Parks Unit"
massacre-hacienda-luisita-i,"President of the Philippines' Government Cory Aquino
The Supreme Court
Department of Labor and Employment (DoLE)
President Gloria Arroyo
Department of Agrarian Reform (DAR)"
illegal-logging-and-other-types-of-resource-extraction-in-virunga-national-park,"- Institut des Parcs Nationaux du Congo Belge
- Institut Congolais pour la Conservation de la Nature (ICCN)"
san-jose-del-progreso-oaxaca-mexico,"Municipio de San Jose del Progreso , Gobierno de Oaxaca"
windmills-in-the-koyna-sanctuary,"Maharashtra Government 
Bombay Supreme Court
The Central Empowered Committee (gives recommendations to the Supreme Court on forest-related matters)"
zaporizhstal-plant,"The city administration of the Ministry of the Environment and Natural Resources of Ukraine;
The Ministry of Energy and Coal Industry of Ukraine"
armadillo-case-indigenous-in-voluntary-isolation-ecuador,"Ministry of Non-Renewable Natural Resources, Ministry of Environment, Ministry of Justice"
amungme-against-freeport-mcmoran-indonesia,
gumti-hydroelectric-project-tripura-india,Government of Tripura
oil-drilling-in-wilmington-ca,The California Geologic Energy Management Division https://www.conservation.ca.gov/calgem
boeung-tamok-lake-filling-near-samroang-tboung-village-prek-pnov-cambodia,
kuzguncuk-vegetable-gardens-turkey,"Turkish Republic General Directorate of Foundations, Istanbul Metropolitan Municipality Bosphorus Development Directorate, Turkish Republic Ministry of Culture and Tourism, Istanbul Cultural and Natural Heritage Preservation Board Directorate numbered 6"
wuzhisan-pheapimex-plantations-cambodia,"State and non-state actors involved; a government official Mr. Ty Kimtok, deputy provincial governor was assigned to play a role as a representative of the company and he has always prevented the local communities from protesting or demanding their land."
minera-san-rafael-el-valle-dominican-republic,"Instituto Nacional de Recursos Hidraulicos, Secretaria de Medio Ambiente"
clean-harbor-waste-facility-california-usa,"Environmental Protection Agency, U.S Navy and Department of Defense, Kern County, State of California"
banshkhali-coal-power-station-chittagong-bangladesh,Government of Bangladesh
acaparamiento-de-agua-por-parte-de-femsa-coca-cola-en-topo-chico-mexico,"Comisión Nacional del Agua (CONAGUA)
Gobierno del estado de Nuevo León"
paladin-africa-uranium-mine-karonga-malawi,"Government of Malawi, Ministry of Natural Resources, Energy and Environment, Department of Environmental Affairs, Department of Mines, Ministry of Labour"
bellavista-miramar-costa-rica,"Direccion de Geologia y Minas, Secretaria Tecnica Nacional Ambiental, Tribunal Ambiental Administrativo, Ministerio de Ambiente, Energia y Telecomunicaciones, Ministerio de Salud"
el-vertedero-de-cambalache-en-ciudad-guayana,"•	Gobernador del estado Bolívar Francisco Rangel Gómez
•	Alcaldía del municipio Caroní. Alcalde José Ramón López, PSUV
•	Mili Hernández, directora regional del Ministerio del Ambiente en el estado Bolívar
•	Corporación Venezolana de Guayana (CVG)
•	Partido político Causa R. Diputados Andrés Velásquez y Américo De Grazia
•	Concejales del municipio Caroní, José Prat y Alberto Martínez"
sonaha-indigenous-minorities-bardia-national-park-bnp-management-nepal,"Department of National Park and Wildlife Conservation, Ministry of Forest and Environment, Federal Government of Nepal."
water-privatization-ghana,"Community Water and Sanitation Agency , New Patriotic Party"
lignite-mining-garzweiler-ii-immerath-germany,North Rhine-Westphalia government
shell-oil-spill-in-eleme-nigeria,Rivers State Ministry of the Environment
cross-border-air-pollution-in-slavonski-brod-croatia-and-bosnia,"The Government of the Republic of Croatia; The Ministry of Environmental and Nature Protection; The Ministry of Justice of the Republic of Croatia; The City of Slavonski Brod; The Ministry of Industry, Energy and Mines of the Republic of Srpska; The Ministry of Foreign Trade and Economic Relations of Bosnia and Herzegovina"
khangchendzonga-conservation-committee,Forest Department
baigas-claim-to-right-to-land-forest-and-forest-resources-and-fight-against-state-violence-in-chhattisgarh-india,"Forest department, revenue Department, District and state administration"
remunicipalisation-of-water-service-in-berlin-germany,Berlin State Government
coca-cola-colombia,"Gobierno de Colombia, República de Colombia, Ministerio del Trabajo (Colombia), Cortes de Apelaciones de Estados Unidos (circuito 11), Corte del Distrito de Miami (EE.UU.)"
taksim-square-and-gezi-park-construction-works-turkey,Istanbul Metropolitan Municipality; Cultural and Natural Heritage Conservation Board; Prime Minister Recep Tayyip Erdogan;
sanyou-chemical-fibre-viscose-factories-china,Nanbao Environmental Protection Bureau
gold-panning-in-kwekwe-zimbabwe,"Ministry of Mines and Mining Development, Zimbabwe National Water Authority , Minsitry of Local Government, Ministry of Tourism"
cerro-leon2,"Secretaría del Ambiente (SEAM), 
Ministerio de Obras Públicas y Comunicaciones (MOPC)"
aluminium-factory-alteo-gardanne-france,"Ministère de l’Écologie, Conseil d'administration du Parc national des Calanques, Agence national de sécurité sanitaire (Anses), Bureau de recherche géologique et minière (BRGM), Préfecture de la région PACA, Conseil supérieur de prévention des risques technologiques (CSPRT), Tribunal Administratif de Marseille, Municipalité de Ciotat"
jiujiang-jinyuan-chemical-fiber-co-ltd-viscose-plant-china,
high-voltage-transmission-lines-portugal,"Ministérios do Ambiente e da Economia, Ordenamento do Território e Poder Local, Tribunal Fiscal e Administrativo de Sintra, Supremo Tribunal, Tribunal Central e Administrativo do Sul, Câmara Municipal de Sintra, Assembleia da República, Ministério as Saúde, Assembleias Municipais"
algarve-livre-de-petroleo,"Governo de Portugal (www.portugal.gov.pt)
Entidade Nacional para o Mercado de Combustíveis (www.enmc.pt)"
bumitama-agri-oil-palm-plantation-indonesia,
oba-airport-site-land-conflict-and-sand-ming,"Idemili South Local Government Area
Anambra State
Ministry of Environment
Ministry of Lands
Ojoto Police Division
Federal Government of Nigeria"
tala-de-arboles-en-eje-vial-zaragoza,"Instituto Queretano del Transporte
Secretaria de Desarrollo Urbano y Obras Públicas del Estado de Querétaro
Gobierno del Estado de Querétaro."
delong-nickel-industrial-area-indonesia,North Konawe Regency government
xiangguang-copper-co-ltd-yanggu-liaocheng-shandong-china,"-National Development and Reform Commission of China
-Ministry of Ecology and Environment of China (MEE)
-Environmental Protection Bureau of Shandong Province
-Liaocheng Municipal Government
-Environmental Protection Bureau of Liaocheng City
-Yanggu County Government
-Environmental Protection Bureau of  Yanggu County"
